"id","operador_id","data_abertura","valor_inicial","data_fechamento","valor_fechamento"
"309","105","7","1","PCT","0.00"
"310","105","13","1","DZ","0.00"
"311","106","54","0","KG","0.00"
"312","106","38","0","KG","0.00"
"313","106","108","2","KG","0.00"
"314","106","165","1","UN","0.00"
"315","106","191","1","KG","0.00"
"316","107","66","1","KG","0.00"
"317","108","5","1","PCT","0.00"
"318","108","13","1","DZ","0.00"
"319","108","30","0","KG","0.00"
"320","108","14","0","KG","0.00"
"321","109","1","2","KG","0.00"
"322","109","17","1","DZ","0.00"
"323","109","152","1","UN","0.00"
"324","110","93","1","UN","0.00"
"325","110","107","0","KG","0.00"
"326","110","64","1","KG","0.00"
"327","110","1","0","KG","0.00"
"328","111","17","1","DZ","0.00"
"329","112","94","1","UN","0.00"
"330","112","108","0","KG","0.00"
"331","112","14","0","KG","0.00"
"332","112","16","1","DZ","0.00"
"333","112","184","3","KG","0.00"
"334","112","187","5","UN","0.00"
"335","113","4","1","PCT","0.00"
"336","113","65","1","KG","0.00"
"337","113","30","0","KG","0.00"
"338","113","66","1","KG","0.00"
"339","114","109","2","KG","0.00"
"340","115","17","1","DZ","0.00"
"341","115","152","1","UN","0.00"
"342","115","184","2","KG","0.00"
"343","115","54","0","KG","0.00"
"344","115","53","0","KG","0.00"
"345","115","108","0","KG","0.00"
"346","115","29","0","KG","0.00"
"347","115","119","1","UN","0.00"
"348","116","53","0","KG","0.00"
"349","116","165","1","UN","0.00"
"350","116","49","1","PCT","0.00"
"351","116","123","1","UN","0.00"
"352","116","129","1","UN","0.00"
"353","117","146","1","PCT","0.00"
"354","118","16","1","DZ","0.00"
"355","118","106","0","KG","0.00"
"356","118","166","0","KG","0.00"
"357","118","66","0","KG","0.00"
"358","118","2","0","KG","0.00"
"359","118","11","3","KG","0.00"
"360","119","60","0","KG","0.00"
"361","119","212","6","UN","0.00"
"362","119","162","4","UN","0.00"
"363","119","13","1","DZ","0.00"
"364","119","169","10","UN","0.00"
"365","120","1","1","KG","0.00"
"366","120","63","0","KG","0.00"
"367","120","109","0","KG","0.00"
"368","120","54","0","KG","0.00"
